Label,Monthly economic survey in services - Past trend of activity - All services activities - SA series,Consumer price index - Base 2015 - All households - France - Food,Consumer price index - Base 2015 - All households - France - Energy,Monthly economic survey in services - Expected trend of demand - All services activities - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of global order books (balance of opinion) - SA series,Monthly economic outlook survey in the building industry - Utilisation rate of production capacities in % - Overall - SA series,Consumer price index - Base 2015 - All households - France - Manufactured products,Monthly economic outlook survey in the building industry - Past trend in the workforce - Overall - SA series,Consumer price index - Base 2015 - All households - France - Services,Monthly economic outlook survey in the building industry - Trend of past activity - Overall - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Expected trend in production (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of foreign order books (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of stocks of manufactured products (balance of opinion) - SA series,Monthly economic outlook survey in the building industry - Trend of expected activity - Overall - SA series,"SA-WDA industrial production index (base 100 in 2015) - Manufacturing (NAF rev. 2, level A10, item CZ)",Monthly economic outlook survey in the building industry - Judgment on the order book level - Overall - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - General outlook - Probable trend in industrial production volume (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Past trend in production (balance of opinion) - SA series,Monthly economic survey in services - Expected trend of activity - All services activities - SA series,Business climate summary indicator - All sectors - Metropolitan France,Employment climate summary indicator - All sectors - Metropolitan France
2005-03-31,4.566666666666666,86.18666666666667,72.39999999999999,10.466666666666667,-17.366666666666664,91.86666666666667,101.39,2.1,82.50666666666666,10.366666666666667,6.766666666666667,-14.5,11.833333333333334,11.033333333333333,110.71666666666665,-7.433333333333334,-3.766666666666667,14.6,8.166666666666666,104.0,102.5
2005-06-30,6.866666666666667,86.67,75.10000000000001,10.5,-21.433333333333334,92.16666666666667,102.17666666666666,7.266666666666667,83.02333333333333,10.533333333333333,5.2,-18.766666666666666,16.433333333333334,14.133333333333333,110.67999999999999,-4.1000000000000005,-18.2,2.1999999999999997,11.233333333333334,102.0,101.93333333333334
2005-09-30,10.366666666666667,85.62333333333333,79.39666666666666,8.200000000000001,-19.3,92.13333333333333,101.04333333333334,5.933333333333334,83.89333333333333,15.133333333333333,6.5,-15.1,13.800000000000002,14.200000000000001,110.43,0.39999999999999997,-19.133333333333336,7.166666666666667,12.666666666666666,101.3,102.93333333333334
2005-12-31,7.266666666666667,85.90333333333332,79.76,9.200000000000001,-15.133333333333335,92.60000000000001,101.83333333333333,11.299999999999999,83.76,19.166666666666668,8.333333333333334,-9.466666666666667,11.799999999999999,20.400000000000002,111.39999999999999,1.5999999999999999,-6.7,7.033333333333334,9.6,103.96666666666665,103.36666666666667
2006-03-31,9.666666666666666,86.89999999999999,79.92333333333333,8.933333333333334,-9.6,92.39999999999999,100.94333333333333,17.366666666666664,84.42,17.166666666666668,11.833333333333334,-1.3333333333333333,12.1,18.599999999999998,111.32333333333334,3.1333333333333333,0.6999999999999998,8.233333333333333,10.533333333333333,104.73333333333333,104.03333333333335
2006-06-30,12.733333333333334,87.68333333333334,83.15333333333334,10.533333333333333,-4.233333333333333,92.63333333333333,101.81333333333333,17.366666666666664,84.97,20.866666666666664,13.4,3.6,10.5,15.666666666666666,113.18333333333334,7.433333333333334,1.0999999999999999,14.166666666666666,12.866666666666667,105.8,108.03333333333335
2006-09-30,10.833333333333334,87.51333333333332,83.62666666666667,11.666666666666666,-3.1,93.66666666666667,100.63333333333333,21.066666666666666,85.92,21.5,10.633333333333333,2.9333333333333336,6.633333333333333,17.96666666666667,112.22666666666667,11.4,9.299999999999999,12.966666666666667,13.5,108.73333333333333,108.7
2006-12-31,13.866666666666667,87.63666666666666,79.67333333333333,11.700000000000001,-5.433333333333334,93.60000000000001,101.47666666666667,19.96666666666667,85.96333333333332,21.8,17.8,0.7666666666666666,8.9,21.666666666666668,112.82,8.4,8.5,12.933333333333332,15.033333333333331,110.0,109.66666666666667
2007-03-31,11.566666666666668,87.73,79.55333333333334,13.799999999999999,0.13333333333333344,93.76666666666667,100.69666666666667,20.366666666666664,86.67333333333333,20.866666666666667,16.1,3.8666666666666667,8.299999999999999,19.066666666666666,113.73666666666668,0.7000000000000001,4.3999999999999995,16.400000000000002,13.733333333333334,110.89999999999999,110.3
2007-06-30,14.766666666666666,88.66333333333334,82.50333333333333,12.1,3.0666666666666664,94.0,101.74000000000001,21.400000000000002,87.17666666666666,23.766666666666666,11.299999999999999,4.666666666666667,8.466666666666667,20.5,114.39999999999999,9.033333333333333,12.799999999999999,18.099999999999998,12.566666666666668,112.8,112.36666666666667
2007-09-30,12.200000000000001,88.48666666666668,83.30666666666667,13.166666666666666,2.9,93.93333333333334,100.70666666666666,21.833333333333332,88.04666666666667,22.099999999999998,14.533333333333331,5.966666666666666,9.9,19.233333333333334,114.14999999999999,16.466666666666665,9.200000000000001,15.200000000000001,13.833333333333334,111.73333333333333,112.03333333333335
